,act_symbol,sector
4882,ARPO,Unknown
4883,ARQL,Unknown
4884,ARTL,PHARMACEUTICAL PREPARATIONS
4885,ARTX,Unknown
4886,ASFI,Unknown
4887,ASNA,Unknown
4888,ASRT,PHARMACEUTICAL PREPARATIONS
4889,AUG,Unknown
4890,AVCO,SERVICES-COMPUTER PROGRAMMING SERVICES
4891,AVH,Unknown
4892,AVP,Unknown
4893,AVX,Unknown
4894,AVYA,SERVICES-PREPACKAGED SOFTWARE
4895,AXE,Unknown
4896,AXGT,Unknown
4897,AYR,Unknown
4898,BAS,Unknown
4899,BBQ,RETAIL-EATING PLACES
4900,BBT,Unknown
4901,BBX,Unknown
4902,BCOM,Unknown
4903,BCRH,Unknown
4904,BCTF,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
4905,BDCL,Unknown
4906,BDCS,Unknown
4907,BDXA,Unknown
4908,BGG,Unknown
4909,BHTG,Unknown
4910,BIOS,ELECTROMEDICAL &amp; ELECTROTHERAPEUTIC APPARATUS
4911,BITA,Unknown
4912,BKJ,Unknown
4913,BNTC,PHARMACEUTICAL PREPARATIONS
4914,BOLD,Unknown
4915,BPMX,Unknown
4916,BQH,Unknown
4917,BREW,Unknown
4918,BSGM,ELECTROMEDICAL &amp; ELECTROTHERAPEUTIC APPARATUS
4919,BURG,Unknown
4920,BVSN,Unknown
4921,BX,INVESTMENT ADVICE
4922,CARB,Unknown
4923,CARE,NATIONAL COMMERCIAL BANKS
4924,CARO,Unknown
4925,CART,Unknown
4926,CATS,Unknown
4927,CBD,RETAIL-GROCERY STORES
4928,CBL,REAL ESTATE INVESTMENT TRUSTS
4929,CBM,Unknown
4930,CBPX,Unknown
4931,CBS,Unknown
4932,CBS.A,Unknown
4933,CCCL,Unknown
4934,CCO,SERVICES-ADVERTISING
4935,CECO,Unknown
4936,CEFL,Unknown
4937,CETV,Unknown
4938,CG,INVESTMENT ADVICE
4939,CHK,CRUDE PETROLEUM &amp; NATURAL GAS
4940,CHKR,CRUDE PETROLEUM &amp; NATURAL GAS
4941,CIFS,Unknown
4942,CISN,Unknown
4943,CLUB,Unknown
4944,CNAT,Unknown
4945,CNXM,Unknown
4946,CNY,Unknown
4947,CORV,Unknown
4948,COT,Unknown
4949,CPL,Unknown
4950,CPTAG,Unknown
4951,CRC,CRUDE PETROLEUM &amp; NATURAL GAS
4952,CRCM,Unknown
4953,CRON,MEDICINAL CHEMICALS &amp; BOTANICAL PRODUCTS
4954,CRR,Unknown
4955,CRZO,Unknown
4956,CSFL,Unknown
4957,CSS,Unknown
4958,CTDD,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE)
4959,CTL,Unknown
4960,CTRC,Unknown
4961,CTV,SERVICES-PREPACKAGED SOFTWARE
4962,CTZ,Unknown
4963,CUI,Unknown
4964,CUO,Unknown
4965,CVIA,Unknown
4966,CVTI,Unknown
4967,CY,Unknown
4968,CYOU,Unknown
4969,DAUD,Unknown
4970,DCAR,Unknown
4971,DCHF,Unknown
4972,DCIX,Unknown
4973,DELL,ELECTRONIC COMPUTERS
4974,DERM,PHARMACEUTICAL PREPARATIONS
4975,DEUR,Unknown
4976,DGAZ,Unknown
4977,DGBP,Unknown
4978,DGLD,Unknown
4979,DGSE,Unknown
4980,DHXM,Unknown
4981,DIVC,Unknown
4982,DJCI,Unknown
4983,DJPY,Unknown
4984,DLBS,Unknown
4985,DLPH,Unknown
4986,DMPI,Unknown
4987,DNI,Unknown
4988,DNR,Unknown
4989,DO,DRILLING OIL &amp; GAS WELLS
4990,DPLO,Unknown
4991,DRR,Unknown
4992,DSLV,Unknown
4993,DTO,Unknown
4994,DTQ,Unknown
4995,DTSS,SERVICES-PREPACKAGED SOFTWARE
4996,DTUL,Unknown
4997,DTUS,Unknown
4998,DTYL,Unknown
4999,DTYS,Unknown
5000,DVHL,Unknown
5001,DVYL,Unknown
5002,DWIN,SERVICES-COMMERCIAL PHYSICAL &amp; BIOLOGICAL RESEARCH
5003,DXB,Unknown
5004,EAB,Unknown
5005,EAE,Unknown
5006,ECA,Unknown
5007,ECCA,Unknown
5008,ECCY,Unknown
5009,ECOL,Unknown
5010,ECT,Unknown
5011,EE,NATURAL GAS DISTRIBUTION
5012,EEI,Unknown
5013,EFBI,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
5014,EFC,REAL ESTATE
5015,EGIF,Unknown
5016,ELGX,Unknown
5017,EMCG,BLANK CHECKS
5018,EMMS,RADIO BROADCASTING STATIONS
5019,ENFC,Unknown
5020,ENOB,PHARMACEUTICAL PREPARATIONS
5021,ENT,Unknown
5022,EQM,Unknown
5023,EQX,GOLD &amp; SILVER ORES
5024,ERA,Unknown
5025,ERI,Unknown
5026,EROS,Unknown
5027,ESGL,Unknown
5028,ESTR,Unknown
5029,ETFC,Unknown
5030,EVGN,AGRICULTURE CHEMICALS
5031,EVRG,ELECTRIC &amp; OTHER SERVICES COMBINED
5032,EVSI,Unknown
5033,EZT,Unknown
5034,FCBP,Unknown
5035,FCSC,Unknown
5036,FDEF,Unknown
5037,FFBW,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
5038,FG,LIFE INSURANCE
5039,FGP,Unknown
5040,FII,Unknown
5041,FLAT,Unknown
5042,FLNG,WATER TRANSPORTATION
5043,FNJN,Unknown
5044,FOMX,Unknown
5045,FORK,Unknown
5046,FSB,Unknown
5047,FSBC,STATE COMMERCIAL BANKS
5048,FSCT,Unknown
5049,FSV,REAL ESTATE
5050,FTEO,Unknown
5051,FTNW,Unknown
5052,FTR,Unknown
5053,GARS,Unknown
5054,GBLI,"FIRE, MARINE &amp; CASUALTY INSURANCE"
5055,GCAP,Unknown
5056,GCE,Unknown
5057,GDI,Unknown
5058,GEMP,Unknown
5059,GFY,Unknown
5060,GMO,Unknown
5061,GMZ,Unknown
5062,GNC,Unknown
5063,GNMX,Unknown
5064,GPOR,CRUDE PETROLEUM &amp; NATURAL GAS
5065,GRI,Unknown
5066,GRNQ,SERVICES-MANAGEMENT CONSULTING SERVICES
5067,GRUB,Unknown
5068,GSB,Unknown
5069,GSH,Unknown
5070,GTYH,Unknown
5071,GWR,Unknown
5072,HABT,Unknown
5073,HAO,Unknown
5074,HCR,Unknown
5075,HDLV,Unknown
5076,HEBT,Unknown
5077,HESM,CRUDE PETROLEUM &amp; NATURAL GAS
5078,HEXO,MEDICINAL CHEMICALS &amp; BOTANICAL PRODUCTS
5079,HHS,SERVICES-DIRECT MAIL ADVERTISING SERVICES
5080,HHT,Unknown
5081,HIIQ,Unknown
5082,HJV,Unknown
5083,HOML,Unknown
5084,HONE,STATE COMMERCIAL BANKS
5085,HOS,Unknown
5086,HTZ,SERVICES-AUTO RENTAL &amp; LEASING (NO DRIVERS)
5087,I,Unknown
5088,IAC,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
5089,IBKC,Unknown
5090,IBKCO,Unknown
5091,IBKCP,Unknown
5092,IDSA,Unknown
5093,IMMU,Unknown
5094,INAP,Unknown
5095,INB,Unknown
5096,INF,Unknown
5097,INNT,Unknown
5098,INR,Unknown
5099,INST,SERVICES-PREPACKAGED SOFTWARE
5100,INWK,Unknown
5101,INXN,Unknown
5102,IOTS,Unknown
5103,IPHS,Unknown
5104,ISG,Unknown
5105,JAG,Unknown
5106,JASN,Unknown
5107,JBN,Unknown
5108,JBR,Unknown
5109,JCAP,Unknown
5110,JCP,Unknown
5111,JEC,Unknown
5112,JHY,Unknown
5113,JMEI,Unknown
5114,JMF,Unknown
5115,JMLP,Unknown
5116,JMPD,Unknown
5117,JMT,Unknown
5118,JMU,Unknown
5119,KBLM,Unknown
5120,KGJI,"SERVICES-BUSINESS SERVICES, NEC"
5121,KMPH,PHARMACEUTICAL PREPARATIONS
5122,KTP,Unknown
5123,LBDC,Unknown
5124,LBY,Unknown
5125,LGC,Unknown
5126,LIN,INDUSTRIAL INORGANIC CHEMICALS
5127,LKSD,Unknown
5128,LLEX,Unknown
5129,LM,Unknown
5130,LMHA,Unknown
5131,LMHB,Unknown
5132,LMLP,Unknown
5133,LOGM,Unknown
5134,LONE,Unknown
5135,LOR,Unknown
5136,LPT,Unknown
5137,LRET,Unknown
5138,LTM,Unknown
5139,LTS,Unknown
5140,LTSL,"SECURITY BROKERS, DEALERS &amp; FLOTATION COMPANIES"
5141,MAXR,RADIO &amp; TV BROADCASTING &amp; COMMUNICATIONS EQUIPMENT
5142,MCBS,STATE COMMERCIAL BANKS
5143,MCX,Unknown
5144,MDCO,Unknown
5145,MDR,Unknown
5146,MDU,"MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS)"
5147,MEET,Unknown
5148,MFSF,Unknown
5149,MICR,ELECTROMEDICAL &amp; ELECTROTHERAPEUTIC APPARATUS
5150,MINI,Unknown
5151,MJCO,Unknown
5152,MLNT,Unknown
5153,MLNX,Unknown
5154,MLPC,Unknown
5155,MLPE,Unknown
5156,MLPG,Unknown
5157,MLPQ,Unknown
5158,MLPZ,Unknown
5159,MMAC,Unknown
5160,MNE,Unknown
5161,MNI,Unknown
5162,MNK,Unknown
5163,MNTA,Unknown
5164,MORL,Unknown
5165,MOSC,Unknown
5166,MPVD,Unknown
5167,MR,Unknown
5168,MRIC,Unknown
5169,MRRL,Unknown
5170,MSBF,Unknown
5171,MSG,Unknown
5172,MSON,Unknown
5173,MTCH,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
5174,MTFB,Unknown
5175,MYL,Unknown
5176,MYOK,Unknown
5177,MYOS,Unknown
5178,NAKD,Unknown
5179,NBL,Unknown
5180,NBN,Unknown
5181,NE,DRILLING OIL &amp; GAS WELLS
5182,NIHD,Unknown
5183,NLNK,Unknown
5184,NMRD,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
5185,NSCO,Unknown
5186,NTRSP,Unknown
5187,NTX,Unknown
5188,NWN,NATURAL GAS DISTRIBUTION
5189,OAS,Unknown
5190,OBE,CRUDE PETROLEUM &amp; NATURAL GAS
5191,OCSLL,Unknown
5192,OGI,PHARMACEUTICAL PREPARATIONS
5193,OHAI,Unknown
5194,OILX,Unknown
5195,OLEM,Unknown
5196,OMN,Unknown
5197,ONCE,Unknown
5198,ONDK,Unknown
5199,OPB,Unknown
5200,OSLE,Unknown
5201,OTTW,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
5202,PBBI,Unknown
5203,PEGI,Unknown
5204,PER,Unknown
5205,PFH,LIFE INSURANCE
5206,PFNX,Unknown
5207,PFSI,MORTGAGE BANKERS &amp; LOAN CORRESPONDENTS
5208,PGNX,Unknown
5209,PIR,Unknown
5210,PIY,Unknown
5211,PJC,Unknown
5212,PJH,Unknown
5213,PLAG,"CANNED, FROZEN &amp; PRESERVED FRUIT, VEG &amp; FOOD SPECIALTIES"
5214,PLL,"MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS)"
5215,PMTS,COMMERCIAL PRINTING
5216,POL,"RETAIL-HOME FURNITURE, FURNISHINGS &amp; EQUIPMENT STORES"
5217,POPE,Unknown
5218,PPLN,Unknown
5219,PRH,LIFE INSURANCE
5220,PROF,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
5221,PRTO,Unknown
5222,PSDO,Unknown
5223,PSV,Unknown
5224,PTLA,Unknown
5225,PUB,Unknown
5226,PVBC,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED"
5227,PWFL,"COMMUNICATIONS EQUIPMENT, NEC"
5228,PYX,Unknown
5229,QBAK,MAGNETIC &amp; OPTICAL RECORDING MEDIA
5230,QHC,Unknown
5231,QTRH,Unknown
5232,RAMP,SERVICES-COMPUTER PROCESSING &amp; DATA PREPARATION
5233,RARX,Unknown
5234,RBS,Unknown
5235,RBZ,Unknown
5236,RCEL,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
5237,RECN,Unknown
5238,REXN,Unknown
5239,RIF,Unknown
5240,ROAN,Unknown
5241,ROSE,BLANK CHECKS
5242,ROYT,Unknown
5243,RRTS,ARRANGEMENT OF TRANSPORTATION OF FREIGHT &amp; CARGO
5244,RSF,Unknown
5245,RST,Unknown
5246,RTIX,Unknown
5247,RTN,Unknown
5248,RTRX,Unknown
5249,RTTR,Unknown
5250,RTW,Unknown
5251,RUBI,Unknown
5252,S,SERVICES-PREPACKAGED SOFTWARE
5253,SAB,Unknown
5254,SAEX,Unknown
5255,SAUC,Unknown
5256,SBBX,Unknown
5257,SBFGP,Unknown
5258,SBGL,Unknown
5259,SBNA,Unknown
5260,SBPH,Unknown
5261,SCA,Unknown
5262,SCON,Unknown
5263,SCU,INVESTMENT ADVICE
5264,SDI,Unknown
5265,SDYL,Unknown
5266,SERV,Unknown
5267,SES,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT &amp; SUPPLIES"
5268,SFET,SERVICES-PREPACKAGED SOFTWARE
5269,SGB,Unknown
5270,SHLO,Unknown
5271,SILV,GOLD &amp; SILVER ORES
5272,SITO,Unknown
5273,SKYS,Unknown
5274,SMHD,Unknown
5275,SMMT,PHARMACEUTICAL PREPARATIONS
5276,SMRT,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
5277,SNDE,Unknown
5278,SNH,Unknown
5279,SNHNI,Unknown
5280,SNNA,Unknown
5281,SOJA,Unknown
5282,SOLO,MOTOR VEHICLES &amp; PASSENGER CAR BODIES
5283,SORL,Unknown
5284,SPAR,Unknown
5285,SPEX,Unknown
5286,SRCI,Unknown
5287,SRF,Unknown
5288,SSI,Unknown
5289,SSW,Unknown
5290,SSWA,Unknown
5291,STI,Unknown
5292,STML,Unknown
5293,STON,SERVICES-PERSONAL SERVICES
5294,STPP,Unknown
5295,TA,RETAIL-AUTO DEALERS &amp; GASOLINE STATIONS
5296,TALO,CRUDE PETROLEUM &amp; NATURAL GAS
5297,TANNI,RETAIL-AUTO DEALERS &amp; GASOLINE STATIONS
5298,TAST,RETAIL-EATING PLACES
5299,TCRD,Unknown
5300,TCRZ,Unknown
5301,TECD,Unknown
5302,TERP,Unknown
5303,TEUM,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
5304,TGE,Unknown
5305,TGEN,AIR COND &amp; WARM AIR HEATING EQUIP &amp; COMM &amp; INDL REFRIG EQUIP
5306,THGA,Unknown
5307,TIVO,Unknown
5308,TLF,LEATHER &amp; LEATHER PRODUCTS
5309,TLI,Unknown
5310,TLRA,Unknown
5311,TLRD,Unknown
5312,TMHC,OPERATIVE BUILDERS
5313,TMSR,Unknown
5314,TOCA,Unknown
5315,TOO,Unknown
5316,TRCB,Unknown
5317,TRNX,"SPECIAL INDUSTRY MACHINERY, NEC"
5318,TROV,Unknown
5319,TRPX,Unknown
5320,TSG,Unknown
5321,TSLF,Unknown
5322,TSU,Unknown
5323,TTPH,Unknown
5324,TUES,Unknown
5325,TVIX,Unknown
5326,TWMC,Unknown
5327,UAUD,Unknown
5328,UCFC,Unknown
5329,UCHF,Unknown
5330,UCI,Unknown
5331,UEUR,Unknown
5332,UGAZ,Unknown
5333,UGBP,Unknown
5334,UGLD,Unknown
5335,UJPY,Unknown
5336,UN,Unknown
5337,UNT,Unknown
5338,URR,Unknown
5339,USLV,Unknown
5340,UTX,Unknown
5341,UZB,Unknown
5342,VAL,DRILLING OIL &amp; GAS WELLS
5343,VCIF,Unknown
5344,VERB,SERVICES-PERSONAL SERVICES
5345,VIAB,Unknown
5346,VICI,REAL ESTATE INVESTMENT TRUSTS
5347,VIIX,Unknown
5348,VIV,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE)
5349,VLRX,Unknown
5350,VMD,"SERVICES-MISC HEALTH &amp; ALLIED SERVICES, NEC"
5351,VQT,Unknown
5352,VRML,Unknown
5353,VSI,Unknown
5354,VSLR,Unknown
5355,VVUS,Unknown
5356,WAAS,Unknown
5357,WAIR,Unknown
5358,WBC,Unknown
5359,WCG,Unknown
5360,WEBK,Unknown
5361,WINS,Unknown
5362,WLH,Unknown
5363,WLL,Unknown
5364,WMGI,Unknown
5365,WRLS,Unknown
5366,WSTL,TELEPHONE &amp; TELEGRAPH APPARATUS
5367,WTR,Unknown
5368,WUBA,Unknown
5369,XAIR,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
5370,XOG,Unknown
5371,XON,Unknown
5372,XRF,Unknown
5373,XRX,"COMPUTER PERIPHERAL EQUIPMENT, NEC"
5374,YIN,Unknown
5375,YUMA,Unknown
5376,ZAYO,Unknown
5377,ZBIO,Unknown
5378,ZBK,Unknown
5379,ZFGN,Unknown
5380,ZION,NATIONAL COMMERCIAL BANKS
5381,ZIV,Unknown
5382,ZN,Unknown
5383,IFS,"COMMERCIAL BANKS, NEC"
5384,VXX,"COMMERCIAL BANKS, NEC"
5385,VXZ,"COMMERCIAL BANKS, NEC"
5386,COLD,REAL ESTATE INVESTMENT TRUSTS
5387,NINE,"OIL, GAS FIELD SERVICES, NBC"
5388,RWGE,Unknown
5389,FNGD,"COMMERCIAL BANKS, NEC"
5390,PAGS,SERVICES-COMPUTER PROCESSING &amp; DATA PREPARATION
5391,AGS,MISCELLANEOUS MANUFACTURING INDUSTRIES
5392,EYEN,PHARMACEUTICAL PREPARATIONS
5393,GTES,GENERAL INDUSTRIAL MACHINERY &amp; EQUIPMENT
5394,MNLO,Unknown
5395,SLDB,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
5396,TORC,Unknown
5397,CLGN,"ORTHOPEDIC, PROSTHETIC &amp; SURGICAL APPLIANCES &amp; SUPPLIES"
5398,CAAP,"AIRPORTS, FLYING FIELDS &amp; AIRPORT TERMINAL SERVICES"
5399,CLNC,Unknown
5400,HUD,Unknown
5401,OSS,ELECTRONIC COMPUTERS
5402,SLGL,PHARMACEUTICAL PREPARATIONS
5403,CEPU,ELECTRIC SERVICES
5404,FTSI,Unknown
5405,EOLS,PHARMACEUTICAL PREPARATIONS
5406,CDLX,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
5407,HMI,Unknown
5408,VCTR,INVESTMENT ADVICE
5409,WHD,OIL &amp; GAS FILED MACHINERY &amp; EQUIPMENT
5410,QES,Unknown
5411,BFRA,Unknown
5412,MOTS,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
5413,FAMI,"CANNED, FRUITS, VEG &amp; PRESERVES, JAMS &amp; JELLIES"
5414,NEWTI,Unknown
5415,TRMD,DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT
5416,AFGE,"FIRE, MARINE &amp; CASUALTY INSURANCE"
5417,AGNCB,Unknown
5418,AREX,Unknown
5419,ATIS,Unknown
5420,CELG,Unknown
5421,DF,Unknown
5422,DKT,Unknown
5423,DNBF,Unknown
5424,DOVA,Unknown
5425,GIG,Unknown
5426,GJV,Unknown
5427,JHD,Unknown
5428,KEG,Unknown
5429,KERN,FINANCE SERVICES
5430,LACQ,Unknown
5431,MCRN,Unknown
5432,NEWM,Unknown
5433,NNC,Unknown
5434,NTC,Unknown
5435,NVTR,Unknown
5436,NYNY,Unknown
5437,OLBK,Unknown
5438,ORIT,Unknown
5439,PPDF,Unknown
5440,SDR,Unknown
5441,SDT,Unknown
5442,SWJ,Unknown
5443,TPGH,Unknown
5444,ZF,Unknown
5445,AREC,BITUMINOUS COAL &amp; LIGNITE MINING
5446,PACK,CONVERTED PAPER &amp; PAPERBOARD PRODS (NO CONTAINERS/BOXES)
5447,NEBU,Unknown
5448,AIZP,Unknown
5449,BTAI,PHARMACEUTICAL PREPARATIONS
5450,CMSA,ELECTRIC &amp; OTHER SERVICES COMBINED
5451,GLIBA,Unknown
5452,GPAQ,Unknown
5453,MUDS,RETAIL-MISCELLANEOUS RETAIL
5454,BWB,STATE COMMERCIAL BANKS
5455,RCUS,PHARMACEUTICAL PREPARATIONS
5456,AIHS,SERVICES-AUTO RENTAL &amp; LEASING (NO DRIVERS)
5457,FIYY,Unknown
5458,LAZY,RETAIL-AUTO DEALERS &amp; GASOLINE STATIONS
5459,TSCAP,Unknown
5460,ZS,SERVICES-COMPUTER PROGRAMMING SERVICES
5461,DNJR,Unknown
5462,BIOX,AGRICULTURE CHEMICALS
5463,DBX,SERVICES-PREPACKAGED SOFTWARE
5464,STG,SERVICES-EDUCATIONAL SERVICES
5465,OPES,Unknown
5466,RDVT,SERVICES-PREPACKAGED SOFTWARE
5467,FFEU,Unknown
5468,GHG,HOTELS &amp; MOTELS
5469,RFL,PHARMACEUTICAL PREPARATIONS
5470,BILI,SERVICES-COMPUTER PROCESSING &amp; DATA PREPARATION
5471,FIXX,PHARMACEUTICAL PREPARATIONS
5472,GNPX,PHARMACEUTICAL PREPARATIONS
5473,IQ,SERVICES-VIDEO TAPE RENTAL
5474,UMRX,Unknown
5475,FRLG,Unknown
5476,SPOT,RADIO BROADCASTING STATIONS
5477,BFST,STATE COMMERCIAL BANKS
5478,TIBR,Unknown
5479,ZUO,SERVICES-PREPACKAGED SOFTWARE
5480,AABA,Unknown
5481,AAC,FABRICATED PLATE WORK (BOILER SHOPS)
5482,AEH,Unknown
5483,ALDR,Unknown
5484,ATAI,PHARMACEUTICAL PREPARATIONS
5485,ATU,Unknown
5486,AUO,Unknown
5487,AWSM,Unknown
5488,BHGE,Unknown
5489,BID,Unknown
5490,BPL,Unknown
5491,CJ,Unknown
5492,CTRP,Unknown
5493,CTWS,Unknown
5494,CUR,Unknown
5495,CVRS,Unknown
5496,DEST,Unknown
5497,DRYS,Unknown
5498,EGI,Unknown
5499,FELP,Unknown
5500,FRAC,Unknown
5501,GHDX,Unknown
5502,HAIR,Unknown
5503,HCP,SERVICES-COMPUTER PROGRAMMING SERVICES
5504,HPJ,Unknown
5505,IDSY,Unknown
5506,IPOA,Unknown
5507,ISCA,Unknown
5508,ISRL,BLANK CHECKS
5509,LHC,RADIO &amp; TV BROADCASTING &amp; COMMUNICATIONS EQUIPMENT
5510,LTXB,Unknown
5511,MAMS,Unknown
5512,MDSO,Unknown
5513,NANO,Unknown
5514,NCI,Unknown
5515,NRCG,Unknown
5516,NVLN,Unknown
5517,OTIV,Unknown
5518,PNTR,Unknown
5519,ROX,Unknown
5520,RTEC,Unknown
5521,RVEN,Unknown
5522,RVLT,Unknown
5523,SHOS,Unknown
5524,SLNG,NATURAL GAS DISTRIBUTION
5525,SSFN,Unknown
5526,STNL,Unknown
5527,SYMC,Unknown
5528,TCGP,Unknown
5529,TOWR,Unknown
5530,TTS,Unknown
5531,TYPE,Unknown
5532,UBNK,Unknown
5533,VSM,Unknown
5534,LRAD,Unknown
5535,NVT,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY)
5536,AGMH,SERVICES-COMPUTER PROGRAMMING SERVICES
5537,EAF,ELECTRICAL INDUSTRIAL APPARATUS
5538,SURF,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
5539,CLBK,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
5540,LEVL,Unknown
5541,PVTL,Unknown
5542,ENBA,PIPE LINES (NO NATURAL GAS)
5543,CDAY,SERVICES-PREPACKAGED SOFTWARE
5544,LASR,SEMICONDUCTORS &amp; RELATED DEVICES
5545,APY,Unknown
5546,DOCU,SERVICES-PREPACKAGED SOFTWARE
5547,GSHD,INSURANCE AGENTS BROKERS &amp; SERVICES
5548,SMAR,SERVICES-PREPACKAGED SOFTWARE
5549,ECCX,Unknown
5550,BH.A,Unknown
5551,PRT,CRUDE PETROLEUM &amp; NATURAL GAS
5552,RCP,Unknown
5553,HCXZ,Unknown
5554,INSP,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
5555,UBX,PHARMACEUTICAL PREPARATIONS
5556,ASLN,PHARMACEUTICAL PREPARATIONS
5557,CBLK,Unknown
5558,JRSH,APPAREL &amp; OTHER FINISHED PRODS OF FABRICS &amp; SIMILAR MATERIAL
5559,ROAD,HEAVY CONSTRUCTION OTHER THAN BUILDING CONST - CONTRACTORS
5560,STXB,Unknown
5561,EVLO,PHARMACEUTICAL PREPARATIONS
5562,OBNK,STATE COMMERCIAL BANKS
5563,EQH,INSURANCE AGENTS BROKERS &amp; SERVICES
5564,VAM,Unknown
5565,HUYA,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
5566,PS,Unknown
5567,RTL,REAL ESTATE INVESTMENT TRUSTS
5568,SMTA,Unknown
5569,RILYH,Unknown
5570,WH,HOTELS &amp; MOTELS
5571,BORR,DRILLING OIL &amp; GAS WELLS
5572,FEUL,Unknown
5573,XCUR,PHARMACEUTICAL PREPARATIONS
5574,EVOP,"SERVICES-BUSINESS SERVICES, NEC"
5575,CLPS,SERVICES-PREPACKAGED SOFTWARE
5576,DFBH,Unknown
5577,GSKY,"SERVICES-BUSINESS SERVICES, NEC"
5578,KNSA,PHARMACEUTICAL PREPARATIONS
5579,PRSP,Unknown
5580,SRRK,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
5581,ITRM,PHARMACEUTICAL PREPARATIONS
5582,PACQ,Unknown
5583,WRTC,Unknown
5584,CPLG,Unknown
5585,EDRY,WATER TRANSPORTATION
5586,HJLI,Unknown
5587,TMCX,Unknown
5588,LTSF,Unknown
5589,AMR,BITUMINOUS COAL &amp; LIGNITE SURFACE MINING
5590,AQ,Unknown
5591,ARCI,Unknown
5592,ASV,Unknown
5593,BT,Unknown
5594,CCA,Unknown
5595,CCNI,Unknown
5596,CHSP,Unknown
5597,CNTF,Unknown
5598,CRAY,Unknown
5599,DAVE,FINANCE SERVICES
5600,DFRG,Unknown
5601,EMCI,Unknown
5602,FNSR,Unknown
5603,FRED,Unknown
5604,HPT,Unknown
5605,HSGX,Unknown
5606,IMI,Unknown
5607,JMPB,Unknown
5608,MMDM,Unknown
5609,MSL,Unknown
5610,NRE,Unknown
5611,OAK,Unknown
5612,OZM,Unknown
5613,PRME,Unknown
5614,SFLY,Unknown
5615,SKIS,Unknown
5616,SPN,Unknown
5617,TRCO,Unknown
5618,TRK,Unknown
5619,TSS,Unknown
5620,BKTI,RADIO &amp; TV BROADCASTING &amp; COMMUNICATIONS EQUIPMENT
5621,MGTX,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
5622,VNE,Unknown
5623,VTIQ,BLANK CHECKS
5624,AMAL,STATE COMMERCIAL BANKS
5625,TDAC,BLANK CHECKS
5626,CHRA,HAZARDOUS WASTE MANAGEMENT
5627,USX,TRUCKING (NO LOCAL)
5628,AVLR,SERVICES-PREPACKAGED SOFTWARE
5629,NEW,Unknown
5630,VRCA,PHARMACEUTICAL PREPARATIONS
5631,UNMA,ACCIDENT &amp; HEALTH INSURANCE
5632,EIDX,Unknown
5633,ESGRP,"FIRE, MARINE &amp; CASUALTY INSURANCE"
5634,APTX,PHARMACEUTICAL PREPARATIONS
5635,AVRO,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
5636,EPRT,REAL ESTATE INVESTMENT TRUSTS
5637,HYGS,Unknown
5638,IIIV,SERVICES-PREPACKAGED SOFTWARE
5639,KZR,PHARMACEUTICAL PREPARATIONS
5640,MGTA,PHARMACEUTICAL PREPARATIONS
5641,XERS,PHARMACEUTICAL PREPARATIONS
5642,AUTL,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
5643,ECOR,ELECTROMEDICAL &amp; ELECTROTHERAPEUTIC APPARATUS
5644,RVI,Unknown
5645,FPAC,FINANCE SERVICES
5646,HYRE,SERVICES-AUTO RENTAL &amp; LEASING (NO DRIVERS)
5647,LOVE,RETAIL-FURNITURE STORES
5648,NTGN,Unknown
5649,UXIN,"SERVICES-BUSINESS SERVICES, NEC"
5650,BJ,RETAIL-VARIETY STORES
