,act_symbol,sector
256,AWH,IN VITRO &amp; IN VIVO DIAGNOSTIC SUBSTANCES
257,AWI,"PLASTICS PRODUCTS, NEC"
258,AWK,WATER SUPPLY
259,AWP,Unknown
260,AWR,WATER SUPPLY
261,AWRE,SERVICES-PREPACKAGED SOFTWARE
262,AWX,REFUSE SYSTEMS
263,AX,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
264,AXAS,CRUDE PETROLEUM &amp; NATURAL GAS
265,AXDX,LABORATORY ANALYTICAL INSTRUMENTS
266,AXGN,ELECTROMEDICAL &amp; ELECTROTHERAPEUTIC APPARATUS
267,AXL,MOTOR VEHICLE PARTS &amp; ACCESSORIES
268,AXON,"ORDNANCE &amp; ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)"
269,AXP,FINANCE SERVICES
270,AXR,LAND SUBDIVIDERS &amp; DEVELOPERS (NO CEMETERIES)
271,AXS,"FIRE, MARINE &amp; CASUALTY INSURANCE"
272,AXTI,SEMICONDUCTORS &amp; RELATED DEVICES
273,AXU,GOLD &amp; SILVER ORES
274,AYI,ELECTRIC LIGHTING &amp; WIRING EQUIPMENT
275,AYRO,"COMMUNICATION SERVICES, NEC"
276,AYTU,PHARMACEUTICAL PREPARATIONS
277,AZN,PHARMACEUTICAL PREPARATIONS
278,AZO,RETAIL-AUTO &amp; HOME SUPPLY STORES
279,AZPN,SERVICES-COMPUTER PROGRAMMING SERVICES
280,AZTA,"SPECIAL INDUSTRY MACHINERY, NEC"
281,AZZ,"COATING, ENGRAVING &amp; ALLIED SERVICES"
282,B,MISCELLANEOUS FABRICATED METAL PRODUCTS
283,BA,AIRCRAFT
284,BAC,NATIONAL COMMERCIAL BANKS
285,BAF,Unknown
286,BAH,SERVICES-MANAGEMENT CONSULTING SERVICES
287,BAK,INDUSTRIAL ORGANIC CHEMICALS
288,BAM,OPERATORS OF NONRESIDENTIAL BUILDINGS
289,BANC,NATIONAL COMMERCIAL BANKS
290,BANF,NATIONAL COMMERCIAL BANKS
291,BANR,STATE COMMERCIAL BANKS
292,BAP,"COMMERCIAL BANKS, NEC"
293,BASI,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
294,BAX,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
295,BB,SERVICES-PREPACKAGED SOFTWARE
296,BBAR,"COMMERCIAL BANKS, NEC"
297,BBBY,"RETAIL-HOME FURNITURE, FURNISHINGS &amp; EQUIPMENT STORES"
298,BBD,STATE COMMERCIAL BANKS
299,BBDC,Unknown
300,BBF,Unknown
301,BBGI,RADIO BROADCASTING STATIONS
302,BBI,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
303,BBK,Unknown
304,BBL,Unknown
305,BBN,Unknown
306,BBSI,SERVICES-HELP SUPPLY SERVICES
307,BBVA,"COMMERCIAL BANKS, NEC"
308,BBW,"RETAIL-HOBBY, TOY &amp; GAME SHOPS"
309,BBWI,"RETAIL-RETAIL STORES, NEC"
310,BBY,RETAIL-RADIO TV &amp; CONSUMER ELECTRONICS STORES
311,BC,ENGINES &amp; TURBINES
312,BCBP,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
313,BCE,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE)
314,BCH,"COMMERCIAL BANKS, NEC"
315,BCLI,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
316,BCO,ARRANGEMENT OF TRANSPORTATION OF FREIGHT &amp; CARGO
317,BCPC,CHEMICALS &amp; ALLIED PRODUCTS
318,BCRX,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
